Name,Camp Type,Longitude (E),Latitude (S),geometry
Bateleur,Bushveld camp,31.20233,-23.23406,POINT (31.20233 -23.23406)
Berg-en-Dal,Rest camp,31.45122,-25.42001,POINT (31.45122 -25.42001)
Biyamiti,Bushveld camp,31.69903,-25.32122,POINT (31.69903 -25.32122)
Crocodile Bridge,Rest camp,31.89204,-25.35891,POINT (31.89204 -25.35891)
Letaba,Rest camp,31.57673,-23.85102,POINT (31.57673 -23.85102)
Lower Sabie,Rest camp,31.91594,-25.11983,POINT (31.91594 -25.11983)
Malelane,Rest camp,31.51095,-25.47712,POINT (31.51095 -25.47712)
Mopani,Rest camp,31.39983,-23.52744,POINT (31.39983 -23.52744)
Olifants,Rest camp,31.74022,-24.00565,POINT (31.74022 -24.00565)
Orpen,Rest camp,31.40542,-24.45287,POINT (31.40542 -24.45287)
Skukuza,Rest camp,31.59263,-24.98984,POINT (31.59263 -24.98984)
Talamati,Bushveld camp,31.55513,-24.55737,POINT (31.55513 -24.55737)
Shimuwini,Bushveld camp,31.27169,-23.71117,POINT (31.27169 -23.71117)
Shingwedzi,Rest camp,31.43314,-23.11357,POINT (31.43314 -23.11357)
Sirene,Bushveld camp,31.23093,-22.94938,POINT (31.23093 -22.94938)
Njalaland Trails,Trails camp,31.0856,-22.5129,POINT (31.0856 -22.5129)
Boesman Trails,Trails camp,31.36042,-25.41001,POINT (31.36042 -25.41001)
Metsimetsi Trails,Trails camp,31.91314,-24.74646,POINT (31.91314 -24.74646)
Wolhuter Trails,Trails camp,31.39292,-25.37201,POINT (31.39292 -25.37201)
Napi Trails,Trails camp,31.43792,-25.16173,POINT (31.43792 -25.16173)
Olifants Trails,Trails camp,31.80064,-23.99631,POINT (31.80064 -23.99631)
Sweni Trails,Trails camp,31.92624,-24.48927,POINT (31.92624 -24.48927)
Balule,Rest camp,31.72904,-24.056,POINT (31.72904 -24.056)
Maroela,Caravan site,31.40122,-24.45067,POINT (31.40122 -24.45067)
Tamboti,Tented camp,31.39842,-24.46177,POINT (31.39842 -24.46177)
Lonely Bull,Camping site,31.38733,-23.74883,POINT (31.38733 -23.74883)
Pretoriuskop,Rest camp,31.26872,-25.16923,POINT (31.26872 -25.16923)
Punda Maria,Rest camp,31.01813,-22.6919,POINT (31.01813 -22.6919)
Satara,Rest camp,31.77953,-24.39258,POINT (31.77953 -24.39258)
Tsendze,Camping site,31.44082,-23.55595,POINT (31.44082 -23.55595)
