type,10 km/h,20 km/h,30 km/h,40 km/h,50 km/h,60 km/h,70 km/h,80 km/h,90 km/h,100 km/h,110 km/h,120 km/h,130 km/h
SmallTruck,9.17,13.33,17.5,21.67,25.83,30.0,34.17,38.33,42.5,46.67,50.83,55.0,59.17
MediumLoadTruck,14.17,18.33,22.5,26.67,30.83,35.0,39.17,43.33,47.5,51.67,55.83,60.0,64.17
HeavyLoadTruck,19.17,23.33,27.5,31.67,35.83,40.0,44.17,48.33,52.5,56.67,60.83,65.0,69.17
ExtendedLoadTruck,24.17,28.33,32.5,36.67,40.83,45.0,49.17,53.33,57.5,61.67,65.83,70.0,74.17
LargeCapacityTruck,29.17,33.33,37.5,41.67,45.83,50.0,54.17,58.33,62.5,66.67,70.83,75.0,79.17
ExtraCapacityTruck,34.17,38.33,42.5,46.67,50.83,55.0,59.17,63.33,67.5,71.67,75.83,80.0,84.17
HighVolumeTruck,39.17,43.33,47.5,51.67,55.83,60.0,64.17,68.33,72.5,76.67,80.83,85.0,89.17
MaximumLoadTruck,44.17,48.33,52.5,56.67,60.83,65.0,69.17,73.33,77.5,81.67,85.83,90.0,94.17
OverloadTruck,54.17,58.33,62.5,66.67,70.83,75.0,79.17,83.33,87.5,91.67,95.83,100.0,104.17
UnlimitedTruck,6.17,10.33,14.5,18.67,22.83,27.0,31.17,35.33,39.5,43.67,47.83,52.0,56.17
