lon,lat
9.94531,53.56294
9.84452,53.55047
9.91713,53.54597
9.95498,53.56128
9.90075,53.54586
9.94926,53.55864
9.93620,53.55028
9.84670,53.57288
9.94149,53.56352
9.94878,53.56228
9.91092,53.56579
9.91743,53.54844
9.81246,53.56327
9.94838,53.54894
9.94503,53.54847
9.92665,53.56366
9.86427,53.54768
9.95979,53.56020
9.93713,53.55238
9.95306,53.54968
9.95380,53.55363
9.95053,53.55586
9.95576,53.55172
9.91927,53.56404
9.76305,53.58099
9.96423,53.55920
9.92834,53.55615
9.90343,53.56858
9.92939,53.56352
9.79627,53.58040
9.80190,53.56535
9.89862,53.57108
9.82314,53.57638
9.94440,53.56957
9.95552,53.54975
9.88878,53.56775
9.87598,53.58850
9.96219,53.56179
9.93082,53.54655
9.85839,53.57194
9.82363,53.56052
9.87967,53.56896
9.87531,53.57070
9.94686,53.56122
9.87350,53.59090
9.81609,53.57750
9.92637,53.55518
9.94456,53.56519
9.90937,53.54925
9.86487,53.59711
9.92282,53.56202
9.85791,53.59807
9.90705,53.56581
9.86506,53.57166
9.88708,53.55957
9.94224,53.55527
9.93614,53.55580
9.86251,53.57186
9.83721,53.57383
9.83521,53.57430
9.88709,53.59902
9.93064,53.54964
9.92811,53.55865
9.88067,53.58405
9.86977,53.59378
9.85422,53.59822
9.88463,53.58049
9.85141,53.54935
9.86677,53.58541
9.90716,53.56719
9.86932,53.57122
9.88515,53.59662
9.88254,53.59317
9.81524,53.56313
9.93632,53.55161
9.95771,53.56261
9.92894,53.54770
9.92216,53.54819
9.87368,53.60622
9.88744,53.56515
9.77068,53.57811
9.95191,53.56688
9.95098,53.56540
9.89264,53.56685
9.89726,53.56554
9.85790,53.58221
9.87363,53.58701
9.93477,53.54634
9.88906,53.60097
9.91820,53.55689
9.95008,53.56426
9.86680,53.58143
9.85608,53.57203
9.88018,53.60086
9.87386,53.56481
9.91815,53.57074
9.92326,53.57089
9.84180,53.57621
9.85218,53.57920
9.84844,53.57796
9.94234,53.54635
9.94194,53.54784
9.86589,53.57596
9.90066,53.56489
9.89869,53.56531
9.90164,53.56482
9.95109,53.54661
9.95311,53.54652
9.93217,53.55720
9.93619,53.54790
9.91436,53.58283
9.91686,53.58211
9.85199,53.58859
9.89005,53.55661
9.88983,53.54656
9.89003,53.54856
9.89084,53.55518
9.89052,53.55243
9.78623,53.58063
9.89544,53.55748
9.89896,53.55728
9.90135,53.55679
9.76023,53.57712
9.85372,53.58387
9.92616,53.57172
9.94385,53.56882
9.92235,53.55085
9.91800,53.55383
9.91782,53.55114
9.89124,53.59318
9.95062,53.55085
9.94102,53.55003
9.94427,53.55063
9.94712,53.55142
9.90976,53.55434
9.92550,53.54772
9.89869,53.59289
9.91793,53.56763
9.94409,53.54950
9.85239,53.59075
9.85268,53.59224
9.85183,53.58596
9.93838,53.55559
9.92762,53.55995
9.87004,53.60675
9.93625,53.54630
9.91257,53.55403
9.93019,53.55042
9.92743,53.54919
9.93813,53.55016
9.79330,53.56797
9.82746,53.56673
9.83521,53.57211
9.90450,53.56307
9.86450,53.55907
9.80992,53.57801
9.81381,53.57762
9.86539,53.56995
9.86856,53.59948
9.92743,53.55036
9.93287,53.55008
9.92154,53.55600
9.93842,53.56363
9.80143,53.57953
9.85477,53.57207
9.91842,53.57836
9.91907,53.57435
9.92205,53.55418
9.92047,53.54605
9.82049,53.56129
9.93213,53.54795
9.93956,53.55373
9.92573,53.54645
9.75367,53.58336
9.94753,53.56490
9.95390,53.54558
9.94694,53.55769
9.96547,53.56134
9.91054,53.55971
9.80837,53.56380
9.91397,53.55824
9.91783,53.58108
9.85237,53.57227
9.88097,53.55316
9.88011,53.54663
9.88596,53.56825
9.75192,53.58346
9.77760,53.58038
9.96549,53.56405
9.86664,53.58474
9.73938,53.58505
9.74887,53.58444
9.90838,53.58473
9.88925,53.57590
9.82666,53.56552
9.90249,53.55639
9.95186,53.55967
9.92473,53.56767
9.91114,53.58375
9.85923,53.54813
9.91735,53.56427
9.82239,53.58378
9.95250,53.56185
9.84290,53.57297
9.93478,53.55021
9.82568,53.57590
9.93146,53.56345
9.87505,53.59132
9.90952,53.54591
9.93472,53.54768
